,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
207,01/09/2022 16,58.45,136.84,11124.0
208,01/09/2022 17,63.45,136.86,11379.0
209,01/09/2022 18,76.75,136.91,11688.0
210,01/09/2022 19,62.58,136.94,11512.0
211,01/09/2022 20,52.13,136.95,11341.0
212,01/09/2022 21,51.0,136.95,11182.0
213,01/09/2022 22,51.4,136.96,10933.0
214,01/09/2022 23,42.4,136.96,10604.0
215,01/09/2022 24,33.89,136.94,10301.0
216,01/10/2022 01,28.88,136.92,10136.0
217,01/10/2022 02,28.45,136.91,10022.0
218,01/10/2022 03,28.32,136.89,9912.0
219,01/10/2022 04,28.55,136.88,9901.0
220,01/10/2022 05,30.21,136.87,10034.0
221,01/10/2022 06,30.84,136.86,10180.0
222,01/10/2022 07,40.03,136.85,10518.0
223,01/10/2022 08,48.5,136.86,10944.0
224,01/10/2022 09,51.91,136.87,11015.0
225,01/10/2022 10,47.86,136.86,11006.0
226,01/10/2022 11,47.05,136.85,11050.0
227,01/10/2022 12,51.07,136.86,11044.0
228,01/10/2022 13,54.7,136.87,10978.0
229,01/10/2022 14,59.25,136.88,10959.0
230,01/10/2022 15,51.35,136.89,10960.0
231,01/10/2022 16,56.75,136.9,10986.0
232,01/10/2022 17,48.09,136.88,11100.0
233,01/10/2022 18,59.28,136.86,11346.0
234,01/10/2022 19,49.36,136.84,11018.0
235,01/10/2022 20,41.7,136.81,10879.0
236,01/10/2022 21,44.17,136.79,10759.0
237,01/10/2022 22,45.35,136.74,10527.0
238,01/10/2022 23,42.39,136.71,10216.0
239,01/10/2022 24,37.78,136.66,9888.0
240,01/11/2022 01,31.86,136.65,9692.0
241,01/11/2022 02,37.01,136.64,9607.0
242,01/11/2022 03,39.5,136.64,9537.0
243,01/11/2022 04,42.17,136.63,9518.0
244,01/11/2022 05,38.0,136.62,9534.0
245,01/11/2022 06,52.5,136.63,9656.0
246,01/11/2022 07,68.36,136.66,10022.0
247,01/11/2022 08,67.08,136.67,10552.0
248,01/11/2022 09,60.77,136.66,10800.0
249,01/11/2022 10,59.81,136.65,10804.0
250,01/11/2022 11,61.24,136.64,10845.0
251,01/11/2022 12,58.93,136.65,10837.0
252,01/11/2022 13,60.83,136.67,10780.0
253,01/11/2022 14,67.84,136.7,10767.0
254,01/11/2022 15,71.61,136.74,10722.0
255,01/11/2022 16,65.45,136.77,10745.0
256,01/11/2022 17,71.56,136.79,10900.0
257,01/11/2022 18,126.11,136.77,11142.0
258,01/11/2022 19,69.36,136.76,10990.0
259,01/11/2022 20,59.3,136.76,10877.0
260,01/11/2022 21,68.4,136.77,10778.0
261,01/11/2022 22,65.75,136.8,10531.0
262,01/11/2022 23,61.03,136.83,10212.0
263,01/11/2022 24,61.89,136.85,9918.0
264,01/12/2022 01,57.1,136.87,9722.0
265,01/12/2022 02,53.32,136.89,9631.0
266,01/12/2022 03,51.79,136.9,9600.0
267,01/12/2022 04,53.23,136.91,9598.0
268,01/12/2022 05,52.96,136.92,9643.0
269,01/12/2022 06,55.11,136.93,9767.0
270,01/12/2022 07,60.27,136.95,10077.0
271,01/12/2022 08,66.51,136.96,10519.0
272,01/12/2022 09,73.42,136.98,10753.0
273,01/12/2022 10,163.68,137.12,10784.0
274,01/12/2022 11,72.61,137.14,10797.0
275,01/12/2022 12,76.93,137.17,10863.0
276,01/12/2022 13,77.55,137.19,10808.0
277,01/12/2022 14,73.31,137.2,10747.0
278,01/12/2022 15,66.17,137.13,10700.0
279,01/12/2022 16,69.42,137.13,10745.0
280,01/12/2022 17,76.0,136.78,10922.0
281,01/12/2022 18,123.13,136.68,11126.0
282,01/12/2022 19,219.33,136.89,10926.0
283,01/12/2022 20,404.18,137.35,10673.0
284,01/12/2022 21,563.31,138.04,10497.0
285,01/12/2022 22,378.84,138.49,10263.0
286,01/12/2022 23,83.16,138.54,10026.0
287,01/12/2022 24,66.45,138.57,9799.0
288,01/13/2022 01,46.82,138.56,9594.0
289,01/13/2022 02,36.67,138.53,9545.0
290,01/13/2022 03,38.78,138.51,9564.0
291,01/13/2022 04,33.07,138.48,9542.0
292,01/13/2022 05,33.99,138.46,9572.0
293,01/13/2022 06,36.22,138.44,9742.0
294,01/13/2022 07,47.81,138.43,10067.0
295,01/13/2022 08,55.26,138.41,10550.0
296,01/13/2022 09,53.68,138.4,10759.0
297,01/13/2022 10,59.08,138.39,10705.0
298,01/13/2022 11,52.22,138.38,10719.0
299,01/13/2022 12,53.9,138.37,10747.0
