,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
82,07/23/2022,89,34,46,41,36,38,46,85,54,52,54,44,55,48,51,33,43,53,61,54,45,54,51,87.0
83,07/24/2022,81,40,35,37,44,47,51,89,57,57,51,44,35,51,41,34,43,47,50,40,45,60,55,75.0
84,07/25/2022,69,36,39,43,35,37,56,80,61,55,54,62,55,57,52,47,47,46,49,43,53,63,48,77.0
85,07/26/2022,92,52,46,58,48,45,41,86,75,81,64,62,68,62,67,54,59,69,59,60,61,68,58,86.0
86,07/27/2022,106,47,60,52,43,48,49,93,68,87,71,71,54,51,75,50,52,63,57,62,66,57,64,87.0
87,07/28/2022,102,44,39,32,41,46,29,103,73,68,66,73,66,61,45,45,43,47,47,48,51,57,56,88.0
88,07/29/2022,103,47,36,41,44,50,35,105,70,67,58,61,52,55,40,47,48,49,41,62,53,66,58,80.0
89,07/30/2022,102,60,45,41,47,46,44,86,63,64,57,51,56,58,51,48,57,57,53,48,50,64,51,82.0
90,07/31/2022,91,40,47,51,46,47,43,86,67,59,57,58,56,56,47,46,52,54,43,44,50,49,52,87.0
91,08/01/2022,93,42,47,36,54,40,34,88,58,56,56,50,48,49,44,49,44,50,44,51,47,57,56,84.0
92,08/02/2022,92,43,41,37,35,42,46,93,56,65,47,49,49,50,45,39,45,58,40,46,48,48,56,85.0
93,08/03/2022,97,39,45,40,32,34,39,86,59,59,65,46,52,54,37,42,51,46,36,39,36,56,28,74.0
94,08/04/2022,90,34,23,34,28,29,24,66,48,48,47,47,45,42,29,39,52,38,36,51,33,45,44,56.0
95,08/05/2022,87,29,33,27,30,30,32,58,43,53,37,47,37,38,27,33,31,32,25,23,39,35,46,62.0
96,08/06/2022,72,33,30,27,27,37,31,68,55,62,51,51,52,48,43,46,41,38,36,40,52,56,63,73.0
97,08/07/2022,68,41,38,30,27,46,34,72,54,57,55,62,56,55,45,46,37,35,44,44,53,52,56,76.0
98,08/08/2022,85,32,36,35,35,38,30,75,69,66,71,66,55,52,28,33,40,48,55,45,57,61,57,78.0
99,08/09/2022,109,38,39,41,46,50,49,98,63,75,67,76,66,49,75,47,53,56,48,72,53,82,60,88.0
100,08/10/2022,114,55,43,35,43,50,36,88,58,66,73,76,57,51,60,57,47,40,58,45,48,61,57,88.0
101,08/11/2022,114,53,45,50,43,62,47,96,75,70,76,66,65,55,53,57,59,53,58,60,73,70,78,88.0
102,08/12/2022,114,54,50,54,45,52,50,105,66,72,77,74,74,69,63,60,62,52,49,71,61,53,81,96.0
103,08/13/2022,112,48,49,32,45,47,41,79,60,69,65,71,63,56,48,52,40,50,61,52,55,58,68,81.0
104,08/14/2022,85,48,39,47,38,48,35,78,57,67,64,67,59,55,41,49,73,51,43,55,59,73,76,80.0
105,08/15/2022,89,45,50,40,43,47,36,88,62,66,63,72,58,55,66,43,42,36,49,45,57,62,44,80.0
106,08/16/2022,97,52,49,43,38,51,39,102,69,73,69,67,79,51,55,45,48,47,60,53,61,53,68,85.0
107,08/17/2022,93,53,42,55,42,46,43,85,68,69,67,73,62,66,59,68,45,42,52,62,71,71,66,77.0
108,08/18/2022,87,41,40,42,41,43,42,88,65,71,81,70,69,71,52,47,62,52,37,59,51,72,58,79.0
109,08/19/2022,105,42,36,29,25,34,23,70,57,75,59,64,71,48,43,57,43,42,39,41,48,67,55,75.0
110,08/20/2022,87,41,30,42,29,45,32,68,51,47,53,59,57,44,55,54,46,46,43,61,65,65,60,74.0
111,08/21/2022,68,44,28,23,32,27,27,63,36,41,48,49,29,39,47,26,25,37,34,44,42,49,47,62.0
112,08/22/2022,90,30,27,25,40,41,34,78,49,59,55,64,63,50,55,59,43,33,43,63,55,53,54,81.0
113,08/23/2022,109,38,44,41,44,55,42,77,50,58,60,49,42,55,48,40,49,43,40,43,44,55,41,74.0
114,08/24/2022,94,43,36,40,38,42,62,83,66,65,64,68,53,54,57,46,61,47,56,64,59,69,61,72.0
115,08/25/2022,107,38,43,37,42,61,39,86,66,62,72,73,69,58,64,49,49,48,58,48,62,60,66,73.0
116,08/26/2022,109,47,40,41,50,49,36,86,59,70,71,78,73,56,66,54,51,51,64,55,64,75,61,92.0
117,08/27/2022,98,50,47,41,46,53,45,74,57,53,61,45,66,51,57,45,36,61,52,46,40,60,48,77.0
118,08/28/2022,92,35,36,33,40,46,34,66,58,46,51,56,48,45,53,47,49,35,40,56,54,57,62,75.0
119,08/29/2022,96,37,36,40,36,40,38,74,55,61,72,76,56,69,62,65,55,59,43,61,66,59,52,83.0
120,08/30/2022,100,43,47,40,43,45,53,82,75,78,70,68,80,66,54,65,47,43,34,44,61,69,51,69.0
0,03/02/2022,93,17,19,29,26,37,39,79,31,28,46,35,44,39,28,28,17,33,26,28,40,28,42,
1,03/03/2022,87,16,22,22,22,29,36,90,38,25,38,40,26,30,32,30,24,34,30,36,33,28,36,
2,03/04/2022,89,21,27,25,26,21,26,92,31,23,35,33,37,23,37,29,22,30,33,34,28,27,32,
3,03/05/2022,90,23,25,28,25,15,27,88,34,30,42,39,36,31,48,28,20,34,26,33,36,24,26,
4,03/06/2022,62,16,11,9,21,14,16,74,31,27,32,36,35,35,31,26,23,25,33,33,37,26,22,
5,03/07/2022,74,22,23,31,24,41,35,81,30,27,34,34,19,32,26,35,27,34,36,30,32,39,28,
6,03/08/2022,95,33,24,21,26,27,39,88,26,31,24,23,34,36,27,31,33,41,40,36,34,21,37,
7,03/09/2022,83,23,17,32,23,44,26,74,38,29,34,36,31,28,39,31,33,31,30,31,30,32,29,
8,03/10/2022,97,17,25,19,18,35,28,77,28,21,19,29,16,29,26,26,38,30,34,33,35,47,37,
9,03/11/2022,92,15,19,18,13,34,30,80,40,36,44,45,39,44,50,47,35,33,26,29,30,33,25,
10,03/12/2022,93,28,30,21,29,31,35,69,34,29,35,31,35,34,31,20,38,28,27,33,40,45,39,
11,03/13/2022,85,225,21,26,24,33,77,26,31,36,20,26,36,19,42,26,23,19,31,36,37,42,70,
12,03/14/2022,89,29,17,16,15,33,35,70,34,34,37,30,38,43,38,44,36,32,37,35,33,31,29,
13,03/15/2022,80,13,11,13,12,24,32,58,29,21,31,27,32,29,30,32,36,40,21,35,29,29,23,
14,03/16/2022,82,8,10,16,10,23,18,65,34,27,34,31,40,32,27,30,33,35,30,45,33,42,23,
15,03/17/2022,76,20,22,16,22,22,27,60,37,47,48,58,37,50,36,30,39,43,42,38,35,32,26,
16,03/18/2022,87,23,10,25,14,25,40,66,35,30,36,45,42,33,22,33,41,30,35,38,42,33,44,
17,03/19/2022,69,18,12,12,9,21,15,45,34,23,37,53,30,43,37,29,25,30,22,32,31,29,21,
18,03/20/2022,81,12,4,7,5,13,10,60,19,29,21,28,7,28,33,20,40,14,20,27,33,20,28,
19,03/21/2022,62,7,7,11,16,17,19,67,30,33,42,43,27,30,29,32,35,26,26,35,31,31,24,
20,03/22/2022,76,14,17,21,22,16,24,58,49,41,51,35,37,44,48,41,39,27,29,40,35,47,34,
21,03/23/2022,81,11,13,21,16,25,21,63,31,42,35,38,44,42,40,36,29,40,27,35,37,42,27,
22,03/24/2022,69,16,15,23,16,24,27,60,39,27,35,26,30,26,29,25,33,29,24,28,31,40,32,
23,03/25/2022,82,19,19,24,28,36,23,73,44,35,39,24,36,22,27,22,34,26,25,34,32,30,28,
24,03/26/2022,87,16,22,20,26,33,20,55,33,39,41,34,29,24,28,27,28,18,27,29,28,28,27,
25,03/27/2022,53,30,16,33,25,29,21,57,32,36,36,36,40,30,38,34,39,40,31,32,38,30,31,
26,03/28/2022,65,14,14,9,30,37,29,67,29,38,34,39,37,27,29,25,37,33,37,31,39,35,28,
27,03/29/2022,80,21,20,22,29,25,25,77,31,45,26,38,32,28,31,20,27,33,28,35,36,27,21,
28,03/30/2022,87,17,18,16,28,19,23,71,29,42,42,33,37,47,33,30,37,41,35,36,38,40,34,
29,03/31/2022,82,27,19,19,23,39,36,63,29,37,45,29,31,32,22,24,30,24,26,34,29,34,30,
30,04/01/2022,79,16,17,18,18,37,18,64,31,26,37,46,31,29,30,29,33,29,21,29,35,29,19,
31,04/02/2022,83,29,24,21,31,31,36,62,30,26,34,40,40,33,25,24,30,26,20,24,27,32,24,
32,04/03/2022,64,28,32,26,22,29,34,65,27,36,33,44,30,38,32,29,28,26,35,31,39,35,34,
33,04/04/2022,67,27,11,18,27,26,22,70,36,42,39,38,31,41,30,31,21,32,18,37,31,29,21,
34,04/05/2022,82,21,21,25,39,30,25,56,34,31,33,28,30,28,26,30,29,36,26,25,26,28,31,
35,04/06/2022,73,34,9,20,32,32,40,64,40,40,37,30,39,26,25,33,32,24,29,25,32,38,33,
36,04/07/2022,77,23,23,21,33,16,18,67,32,45,34,40,25,29,35,40,45,37,29,32,37,33,32,
37,04/08/2022,80,25,18,18,21,24,35,68,43,38,43,50,44,55,44,46,50,36,38,45,47,46,31,
38,04/09/2022,84,28,25,22,31,28,27,59,33,35,36,40,29,30,31,31,29,41,29,33,37,35,35,
39,04/10/2022,71,42,28,29,30,44,28,69,36,42,38,38,39,35,43,30,28,51,44,41,47,46,43,
40,04/11/2022,80,29,31,24,38,50,50,79,42,44,37,51,43,34,35,38,37,31,33,40,40,33,44,
41,04/12/2022,92,36,21,19,29,34,49,77,41,32,36,32,34,31,35,38,32,35,27,33,38,25,36,
42,04/13/2022,94,33,26,20,35,52,35,68,52,54,49,52,48,38,43,51,45,46,36,45,40,46,37,
43,04/14/2022,88,29,26,26,21,44,32,73,44,65,32,38,23,32,25,29,38,28,37,29,31,28,29,
44,04/15/2022,95,30,36,24,35,38,40,67,49,30,43,48,33,43,24,35,38,27,29,25,36,34,26,
45,04/16/2022,89,25,24,32,38,38,36,58,48,29,34,52,41,47,30,44,27,29,44,40,42,38,29,
46,04/17/2022,66,27,18,28,22,21,18,64,36,37,37,37,26,32,26,33,41,33,29,35,39,39,33,
47,04/18/2022,80,28,24,31,28,28,28,78,58,51,48,55,47,48,43,51,46,45,44,38,35,40,33,
48,04/19/2022,92,35,28,33,26,42,30,74,44,38,39,57,33,34,34,38,39,34,34,34,40,34,35,
49,04/20/2022,95,26,21,30,39,38,38,75,33,38,45,44,39,47,33,42,39,40,48,38,32,38,29,
50,04/21/2022,87,28,25,22,20,22,29,73,45,52,42,40,47,49,39,42,41,41,30,50,36,42,34,
51,04/22/2022,84,21,27,20,21,27,25,78,52,42,46,55,47,48,35,36,46,43,37,42,36,51,30,
52,04/23/2022,75,36,35,32,33,36,30,72,52,41,46,54,48,44,45,47,44,29,39,43,57,47,39,
53,04/24/2022,67,32,30,37,30,32,38,71,36,48,44,51,39,43,42,37,43,40,41,55,46,64,46,
54,04/25/2022,77,36,28,29,39,42,32,61,56,43,32,46,45,55,31,45,38,32,25,27,35,43,34,
55,04/26/2022,78,35,34,36,34,43,38,69,54,47,44,47,40,53,44,38,38,40,41,53,42,49,40,
56,04/27/2022,86,26,22,26,28,28,39,71,41,47,52,45,45,48,32,40,38,42,42,34,36,38,37,
57,04/28/2022,83,29,25,23,22,37,27,75,42,49,45,55,36,32,39,39,48,36,46,43,41,43,40,
58,04/29/2022,86,30,30,34,24,36,35,66,39,51,41,52,47,31,27,33,32,40,38,38,33,40,35,
59,04/30/2022,76,32,33,34,25,37,29,67,42,47,49,36,42,36,41,39,44,34,40,44,44,49,37,
0,01/02/2022,70,13,15,14,11,20,18,68,23,16,21,21,23,26,11,35,47,24,35,27,20,28,15,73.0
1,01/03/2022,68,9,11,12,10,11,17,77,26,28,18,28,23,17,14,28,31,20,20,20,11,22,12,69.0
2,01/04/2022,72,3,6,8,6,16,19,68,26,22,21,12,10,30,12,22,30,23,14,26,19,19,21,64.0
3,01/05/2022,82,17,22,9,12,42,22,63,33,29,26,25,25,36,10,18,27,18,21,23,27,19,9,52.0
4,01/06/2022,91,23,19,4,13,25,25,52,23,25,17,19,20,24,11,21,21,25,15,10,22,15,31,54.0
5,01/07/2022,87,16,13,14,20,32,35,70,33,24,47,24,30,31,37,32,32,23,32,34,32,32,28,66.0
6,01/08/2022,87,18,19,19,17,21,28,77,30,28,26,22,28,22,19,26,32,23,25,34,29,32,20,64.0
7,01/09/2022,63,22,18,25,23,25,23,70,26,30,29,33,25,34,16,33,31,21,28,24,29,44,28,62.0
8,01/10/2022,84,22,14,16,21,26,26,72,46,32,34,42,38,43,24,29,37,23,20,27,32,24,36,71.0
9,01/11/2022,95,34,21,23,20,31,29,58,30,29,31,35,23,40,33,27,45,24,31,33,36,33,25,52.0
10,01/12/2022,75,23,22,17,18,36,29,62,33,30,32,51,33,27,29,20,40,27,24,36,35,27,25,54.0
11,01/13/2022,82,27,23,21,15,35,20,62,44,39,34,34,41,30,31,30,33,30,41,36,38,36,40,71.0
12,01/14/2022,81,23,20,32,29,37,31,70,36,41,37,35,34,34,34,33,32,30,31,34,26,32,27,63.0
13,01/15/2022,86,20,26,19,18,28,24,59,31,28,27,28,26,36,33,40,33,35,33,34,32,31,28,57.0
14,01/16/2022,58,30,14,20,23,33,32,59,41,29,31,32,39,42,32,36,40,38,36,33,34,24,23,51.0
15,01/17/2022,69,20,17,16,19,23,29,72,34,31,23,41,33,28,24,28,41,37,31,33,35,42,32,60.0
16,01/18/2022,79,37,23,28,28,31,40,66,41,36,42,46,34,30,27,37,41,37,36,35,31,30,29,76.0
17,01/19/2022,90,31,26,27,22,31,35,86,37,40,29,36,34,38,39,35,33,40,35,30,34,31,31,72.0
18,01/20/2022,96,25,31,21,22,36,42,89,46,43,27,34,34,31,29,44,35,28,27,39,40,24,28,74.0
19,01/21/2022,100,26,24,27,27,46,45,72,36,37,16,43,18,33,36,22,23,21,20,20,25,23,22,48.0
20,01/22/2022,86,24,24,15,26,20,22,53,24,27,17,20,27,25,25,20,32,22,31,34,30,34,22,53.0
21,01/23/2022,60,22,18,17,17,22,25,66,20,24,17,21,24,23,22,25,32,27,32,36,35,38,18,68.0
22,01/24/2022,76,28,16,31,26,36,31,81,28,44,29,39,26,31,20,22,31,35,35,27,27,26,29,77.0
23,01/25/2022,93,18,17,28,19,43,34,73,36,42,43,37,37,40,42,34,33,29,33,33,37,29,22,60.0
24,01/26/2022,88,19,17,31,14,29,31,78,36,31,35,45,28,31,33,29,47,42,47,45,44,31,39,68.0
25,01/27/2022,82,26,37,32,25,36,46,92,45,48,38,38,34,38,35,41,45,33,41,31,51,31,37,69.0
26,01/28/2022,87,23,19,18,23,36,33,71,36,34,32,40,32,45,29,33,37,28,24,25,47,25,29,68.0
27,01/29/2022,81,23,28,17,19,25,16,55,30,26,26,32,29,35,38,24,31,30,33,28,26,38,22,51.0
28,01/30/2022,52,23,24,16,14,29,31,54,29,20,30,29,33,30,26,21,26,28,31,36,34,32,27,60.0
29,01/31/2022,60,29,17,25,27,36,41,85,56,44,38,48,43,31,30,28,47,38,41,32,31,36,24,71.0
30,02/01/2022,76,25,24,21,20,40,25,70,32,27,27,34,37,28,30,22,29,30,28,26,32,30,31,59.0
31,02/02/2022,87,22,23,26,20,56,32,86,40,32,31,44,34,31,47,25,34,33,32,44,41,41,35,65.0
32,02/03/2022,95,21,29,28,26,46,35,70,43,36,37,33,31,37,37,33,41,38,39,38,33,29,23,76.0
33,02/04/2022,92,27,18,23,29,43,32,71,37,34,50,37,46,41,42,32,38,32,33,35,33,30,23,55.0
34,02/05/2022,67,20,22,21,16,28,27,55,26,25,33,27,35,34,28,20,33,31,33,34,39,25,27,63.0
35,02/06/2022,62,24,19,21,13,23,31,48,26,32,38,42,33,35,30,24,37,26,30,26,26,27,18,47.0
36,02/07/2022,57,14,16,20,18,26,44,62,31,41,39,35,30,34,29,33,32,38,35,38,40,41,27,53.0
37,02/08/2022,77,20,14,12,27,22,22,60,29,26,31,35,27,26,28,23,16,29,28,21,31,37,20,46.0
38,02/09/2022,74,12,14,9,18,19,27,59,24,22,29,23,27,24,25,21,19,38,19,30,31,21,25,55.0
39,02/10/2022,75,15,18,11,13,20,28,59,28,20,31,21,18,24,27,28,33,34,30,34,32,25,25,58.0
40,02/11/2022,80,15,20,17,22,29,41,67,41,29,22,19,18,24,26,28,34,48,28,31,24,27,32,66.0
41,02/12/2022,82,13,20,11,11,16,20,69,31,18,32,35,32,39,23,27,24,24,27,31,27,31,21,51.0
42,02/13/2022,76,24,15,12,14,15,23,65,25,22,35,22,14,19,20,15,22,27,30,29,33,33,21,52.0
43,02/14/2022,66,15,20,9,10,15,37,69,28,22,37,34,37,27,39,27,43,27,31,22,26,34,17,59.0
44,02/15/2022,79,22,15,15,19,23,23,62,35,28,30,24,25,40,38,20,24,38,28,33,31,23,28,59.0
45,02/16/2022,79,28,14,18,29,38,46,71,36,41,31,25,33,32,44,49,35,50,40,36,38,35,26,76.0
46,02/17/2022,88,24,23,18,28,38,35,68,47,35,43,30,31,23,22,29,44,37,37,31,43,32,26,74.0
47,02/18/2022,92,21,24,19,22,35,35,83,37,30,45,31,39,36,48,43,43,39,39,35,41,35,30,74.0
48,02/19/2022,89,30,25,24,26,25,26,73,28,23,29,27,25,23,28,28,39,29,36,32,34,29,34,70.0
49,02/20/2022,90,36,27,33,33,33,34,75,28,28,23,23,24,22,18,18,32,33,21,28,30,16,29,75.0
50,02/21/2022,71,20,17,9,15,26,19,79,34,31,40,35,30,33,35,27,36,40,33,31,32,30,31,80.0
51,02/22/2022,58,21,19,15,15,20,23,87,38,39,25,26,38,44,25,28,36,28,35,27,27,19,25,86.0
52,02/23/2022,97,17,26,16,13,26,23,70,30,28,33,35,45,33,37,37,32,38,45,36,37,35,29,76.0
53,02/24/2022,80,19,18,9,19,31,28,73,42,38,32,46,39,34,23,41,29,20,43,25,37,37,29,73.0
54,02/25/2022,80,14,13,23,15,34,24,68,30,26,40,49,39,47,40,41,30,31,28,35,34,36,34,64.0
55,02/26/2022,84,21,22,24,22,26,16,72,30,22,36,33,33,26,33,31,25,27,41,44,34,42,25,54.0
