Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
01/11/2020 15,58.72,40.85,10856
01/11/2020 16,70.99,40.89,10924
01/11/2020 17,42.31,40.86,11103
01/11/2020 18,80.09,40.85,11399
01/11/2020 19,67.27,40.89,11295
01/11/2020 20,55.46,40.89,11202
01/11/2020 21,42.31,40.83,11093
01/11/2020 22,41.41,40.77,10935
01/11/2020 23,39.95,40.76,10699
01/11/2020 24,37.23,40.75,10485
01/12/2020 01,36.02,40.74,10337
01/12/2020 02,30.06,40.73,10193
01/12/2020 03,29.47,40.72,10082
01/12/2020 04,29.35,40.71,10056
01/12/2020 05,29.38,40.69,10004
01/12/2020 06,29.41,40.68,10056
01/12/2020 07,31.95,40.55,10170
01/12/2020 08,37.52,40.5,10417
01/12/2020 09,41.98,40.5,10694
01/12/2020 10,74.44,40.55,10713
01/12/2020 11,57.69,40.53,10853
01/12/2020 12,76.53,40.58,10962
01/12/2020 13,59.99,40.61,11067
01/12/2020 14,60.83,40.65,11050
01/12/2020 15,72.58,40.66,11119
01/12/2020 16,75.09,40.69,11213
01/12/2020 17,484.87,41.22,11397
01/12/2020 18,897.73,42.37,11650
01/12/2020 19,789.41,43.41,11523
01/12/2020 20,669.02,44.29,11373
01/12/2020 21,162.54,44.44,11254
01/12/2020 22,63.29,44.15,11149
01/12/2020 23,48.91,44.1,10916
01/12/2020 24,192.88,44.29,10534
01/13/2020 01,174.7,44.49,10362
01/13/2020 02,54.46,44.52,10298
01/13/2020 03,70.7,44.57,10253
01/13/2020 04,77.7,44.64,10204
01/13/2020 05,90,44.72,10257
01/13/2020 06,135.51,44.86,10407
01/13/2020 07,616.46,45.67,10652
01/13/2020 08,662.25,46.53,11000
01/13/2020 09,861.24,47.68,11173
01/13/2020 10,941.23,48.92,11227
01/13/2020 11,941.23,50.05,11279
01/13/2020 12,937.07,51.28,11329
01/13/2020 13,935.19,52.49,11356
01/13/2020 14,924.14,53.7,11315
01/13/2020 15,908.21,54.91,11272
01/13/2020 16,887.07,56.09,11254
01/13/2020 17,917.01,57.31,11406
