Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
09/24/2020 02,29.53,36.07,8261
09/24/2020 03,29.57,36.07,8192
09/24/2020 04,26,36.08,8185
09/24/2020 05,24.63,36.08,8241
09/24/2020 06,27.98,36.09,8366
09/24/2020 07,31.02,36.09,8706
09/24/2020 08,32.15,36.1,9050
09/24/2020 09,33.19,36.11,9196
09/24/2020 10,33.26,36.11,9322
09/24/2020 11,35.82,36.11,9487
09/24/2020 12,36.36,36.11,9583
09/24/2020 13,36.38,36.11,9572
09/24/2020 14,37.66,36.11,9566
09/24/2020 15,37.44,36.11,9513
09/24/2020 16,33.99,36.1,9525
09/24/2020 17,34.02,36.08,9564
09/24/2020 18,32.86,36.07,9535
09/24/2020 19,33.74,36.07,9365
09/24/2020 20,30.98,36.06,9361
09/24/2020 21,31.93,36.06,9361
09/24/2020 22,28.17,36.05,9118
09/24/2020 23,28.88,36.05,8787
09/24/2020 24,25.7,36.04,8489
09/25/2020 01,24.99,36.04,8287
09/25/2020 02,25.3,36.04,8217
09/25/2020 03,25.65,36.05,8179
09/25/2020 04,27.86,36.05,8187
09/25/2020 05,27.45,36.06,8220
09/25/2020 06,29.92,36.08,8365
09/25/2020 07,31,36.08,8751
09/25/2020 08,33.45,36.09,9143
09/25/2020 09,34,36.1,9287
09/25/2020 10,33.96,36.1,9349
09/25/2020 11,34.51,36.1,9474
09/25/2020 12,33.28,36.1,9574
09/25/2020 13,33.37,36.09,9560
09/25/2020 14,33.82,36.08,9566
09/25/2020 15,33.35,36.08,9521
09/25/2020 16,33.3,36.05,9481
09/25/2020 17,33.39,36.02,9454
09/25/2020 18,33.27,35.91,9442
09/25/2020 19,33.28,35.87,9319
09/25/2020 20,35.06,35.86,9340
09/25/2020 21,36.28,35.86,9343
09/25/2020 22,36.06,35.86,9181
09/25/2020 23,34.1,35.86,8889
09/25/2020 24,31.85,35.86,8587
09/26/2020 01,30.15,35.86,8367
09/26/2020 02,26.55,35.86,8178
09/26/2020 03,24.7,35.85,8102
09/26/2020 04,22.53,35.84,8074
09/26/2020 05,21.92,35.83,8103
09/26/2020 06,23.73,35.82,8184
09/26/2020 07,24.17,35.81,8344
09/26/2020 08,27.64,35.81,8543
09/26/2020 09,30.47,35.8,8664
09/26/2020 10,33.23,35.8,8827
09/26/2020 11,35.75,35.8,8942
09/26/2020 12,33.39,35.8,9005
09/26/2020 13,33.97,35.8,9004
09/26/2020 14,31.31,35.78,8985
09/26/2020 15,29.91,35.73,8988
09/26/2020 16,29.89,35.52,8963
09/26/2020 17,29.93,35.46,9013
09/26/2020 18,33.01,35.31,9009
09/26/2020 19,30.47,35.3,8849
09/26/2020 20,29.96,35.29,8885
09/26/2020 21,30.45,35.28,8942
09/26/2020 22,30.04,35.27,8786
09/26/2020 23,29.61,35.27,8550
09/26/2020 24,28.58,35.26,8318
09/27/2020 01,27.14,35.25,8138
09/27/2020 02,24.87,35.25,8040
09/27/2020 03,24.84,35.24,8013
09/27/2020 04,25.75,35.23,8010
09/27/2020 05,28.61,35.23,8029
09/27/2020 06,29.89,35.23,8072
09/27/2020 07,30.45,35.24,8100
09/27/2020 08,30.49,35.24,8212
09/27/2020 09,33.27,35.23,8390
09/27/2020 10,35.97,35.24,8576
09/27/2020 11,36.29,35.24,8704
09/27/2020 12,38.17,35.24,8817
09/27/2020 13,36.2,35.24,8862
09/27/2020 14,33.91,35.24,8845
09/27/2020 15,32.04,35.24,8855
09/27/2020 16,36.18,35.24,8907
09/27/2020 17,36.52,35.23,9032
09/27/2020 18,38.68,35.24,9114
09/27/2020 19,38.69,35.24,9039
09/27/2020 20,39.35,35.25,9126
09/27/2020 21,40.06,35.26,9174
09/27/2020 22,38.83,35.27,8985
09/27/2020 23,37.73,35.28,8726
09/27/2020 24,37.16,35.29,8434
09/28/2020 01,32.25,35.3,8212
09/28/2020 02,30.55,35.31,8129
09/28/2020 03,30.47,35.32,8105
09/28/2020 04,30.27,35.34,8129
09/28/2020 05,29.64,35.34,8143
09/28/2020 06,29.35,35.35,8269
09/28/2020 07,30.87,35.36,8667
09/28/2020 08,33.2,35.39,9143
09/28/2020 09,33.33,35.42,9335
09/28/2020 10,35.27,35.43,9453
09/28/2020 11,38.72,35.45,9486
09/28/2020 12,38.66,35.48,9495
09/28/2020 13,38.59,35.5,9504
09/28/2020 14,37.97,35.52,9482
09/28/2020 15,36,35.53,9440
09/28/2020 16,33.66,35.54,9469
09/28/2020 17,36.43,35.55,9510
09/28/2020 18,31.43,35.54,9498
09/28/2020 19,31.91,35.54,9346
09/28/2020 20,30.14,35.54,9474
09/28/2020 21,33.13,35.54,9387
09/28/2020 22,30.99,35.54,9193
09/28/2020 23,29.37,35.54,8875
09/28/2020 24,25.86,35.54,8592
09/29/2020 01,23.83,35.55,8362
09/29/2020 02,20.32,35.54,8215
09/29/2020 03,26.92,35.55,8146
09/29/2020 04,23.29,35.55,8110
09/29/2020 05,24.57,35.56,8156
09/29/2020 06,27.85,35.6,8247
09/29/2020 07,29.92,35.63,8559
09/29/2020 08,29.99,35.65,8969
09/29/2020 09,30.38,35.66,9111
09/29/2020 10,35.31,35.67,9199
09/29/2020 11,36.35,35.68,9309
09/29/2020 12,36.29,35.69,9378
09/29/2020 13,35.05,35.69,9428
09/29/2020 14,32.96,35.69,9467
09/29/2020 15,29.88,35.69,9455
09/29/2020 16,30,35.69,9428
09/29/2020 17,30.27,35.69,9476
09/29/2020 18,30.59,35.69,9480
09/29/2020 19,32.13,35.69,9321
09/29/2020 20,37.02,35.7,9386
09/29/2020 21,38.03,35.72,9366
09/29/2020 22,36.24,35.73,9157
09/29/2020 23,34.73,35.74,8846
09/29/2020 24,35.89,35.76,8553
09/30/2020 01,30.65,35.78,8353
09/30/2020 02,29.94,35.8,8236
09/30/2020 03,29.92,35.81,8209
09/30/2020 04,29.91,35.83,8180
09/30/2020 05,29.78,35.85,8214
09/30/2020 06,29.85,35.85,8339
09/30/2020 07,35.46,35.86,8691
09/30/2020 08,38.13,35.87,9178
09/30/2020 09,38.08,35.87,9330
09/30/2020 10,38.71,35.88,9380
09/30/2020 11,38.58,35.88,9444
09/30/2020 12,38.67,35.88,9481
09/30/2020 13,38.07,35.88,9484
09/30/2020 14,38.04,35.88,9481
09/30/2020 15,37.97,35.88,9447
09/30/2020 16,38.04,35.88,9458
09/30/2020 17,38.22,35.89,9462
09/30/2020 18,38.2,35.9,9458
09/30/2020 19,38.14,35.91,9301
09/30/2020 20,38.14,35.93,9383
09/30/2020 21,42.71,35.95,9419
09/30/2020 22,38.03,35.97,9195
09/30/2020 23,35.66,36,8849
09/30/2020 24,32.94,36.05,8524
10/01/2020 01,34.61,36.09,8379
10/01/2020 02,32.33,36.14,8316
10/01/2020 03,30.76,36.18,8254
10/01/2020 04,30.73,36.23,8232
10/01/2020 05,30.67,36.24,8248
10/01/2020 06,31.19,36.24,8376
10/01/2020 07,34.43,36.25,8709
10/01/2020 08,33.82,36.26,9030
10/01/2020 09,34.79,36.27,9238
10/01/2020 10,34.96,36.28,9392
10/01/2020 11,35.82,36.29,9470
10/01/2020 12,35.67,36.29,9505
10/01/2020 13,34.28,36.3,9466
10/01/2020 14,35.89,36.3,9509
10/01/2020 15,36.92,36.3,9534
10/01/2020 16,37.07,36.31,9572
10/01/2020 17,37.18,36.31,9591
10/01/2020 18,37.33,36.32,9586
10/01/2020 19,37.23,36.32,9379
10/01/2020 20,37.27,36.33,9487
10/01/2020 21,36.28,36.34,9438
10/01/2020 22,33,36.34,9163
10/01/2020 23,30.8,36.34,8839
10/01/2020 24,31.11,36.35,8543
10/02/2020 01,30.58,36.35,8326
10/02/2020 02,30.5,36.39,8229
10/02/2020 03,30.51,36.43,8151
10/02/2020 04,30.54,36.46,8126
10/02/2020 05,31.67,36.5,8184
10/02/2020 06,33.77,36.54,8363
10/02/2020 07,34.79,36.56,8732
10/02/2020 08,34.41,36.57,9114
10/02/2020 09,36.68,36.58,9279
10/02/2020 10,37.27,36.59,9353
10/02/2020 11,38.58,36.61,9410
10/02/2020 12,38.55,36.62,9476
10/02/2020 13,35.33,36.63,9470
10/02/2020 14,34.19,36.63,9504
10/02/2020 15,34.06,36.62,9483
10/02/2020 16,34.19,36.62,9432
10/02/2020 17,34.07,36.61,9453
10/02/2020 18,34.11,36.61,9410
10/02/2020 19,37.1,36.61,9203
10/02/2020 20,38.3,36.61,9237
10/02/2020 21,38.65,36.61,9259
10/02/2020 22,36.28,36.6,9063
10/02/2020 23,34.29,36.6,8840
10/02/2020 24,34.24,36.6,8588
10/03/2020 01,34.22,36.6,8397
10/03/2020 02,34.23,36.6,8268
10/03/2020 03,34.16,36.6,8182
10/03/2020 04,33.91,36.6,8127
10/03/2020 05,34.13,36.6,8134
10/03/2020 06,34.13,36.6,8213
10/03/2020 07,33.25,36.59,8363
10/03/2020 08,30.23,36.58,8574
10/03/2020 09,30.65,36.57,8713
10/03/2020 10,33.38,36.56,8843
10/03/2020 11,34.22,36.55,8944
10/03/2020 12,34.37,36.55,9016
10/03/2020 13,34.18,36.55,8983
10/03/2020 14,34.23,36.55,8942
10/03/2020 15,34.23,36.54,8954
10/03/2020 16,36.81,36.52,9025
10/03/2020 17,37.21,36.5,9120
10/03/2020 18,35.29,36.48,9164
10/03/2020 19,33.03,36.47,9079
10/03/2020 20,30.46,36.46,9157
10/03/2020 21,29.22,36.45,9143
10/03/2020 22,27.4,36.43,8961
10/03/2020 23,22.95,36.41,8699
10/03/2020 24,21.85,36.39,8478
10/04/2020 01,21.93,36.37,8286
10/04/2020 02,21.86,36.35,8122
10/04/2020 03,21.28,36.34,8048
10/04/2020 04,20.21,36.32,7983
10/04/2020 05,20.09,36.3,7914
10/04/2020 06,19.7,36.29,7945
10/04/2020 07,20.3,36.27,8085
10/04/2020 08,20.67,36.25,8214
10/04/2020 09,21.3,36.23,8390
10/04/2020 10,26.36,36.21,8630
10/04/2020 11,27.08,36.2,8850
10/04/2020 12,27.87,36.19,8992
10/04/2020 13,29.67,36.17,9045
10/04/2020 14,29.68,36.15,9045
10/04/2020 15,29.79,36.14,9064
10/04/2020 16,32.11,36.12,9124
10/04/2020 17,31.96,36.1,9214
10/04/2020 18,33.58,36.09,9266
10/04/2020 19,32.71,36.06,9195
10/04/2020 20,31.98,36.04,9211
10/04/2020 21,29.84,36.03,9139
10/04/2020 22,29.32,36.02,8923
10/04/2020 23,27.45,36,8641
10/04/2020 24,26.13,35.99,8393
10/05/2020 01,27.92,35.98,8211
10/05/2020 02,29.74,35.97,8135
10/05/2020 03,30.59,35.97,8077
10/05/2020 04,30.62,35.97,8090
10/05/2020 05,32.6,35.97,8117
10/05/2020 06,33.53,35.97,8266
10/05/2020 07,36.95,35.97,8668
10/05/2020 08,36.92,35.97,9126
10/05/2020 09,34.51,35.97,9185
10/05/2020 10,34.22,35.96,9321
10/05/2020 11,36.04,35.96,9426
10/05/2020 12,35.69,35.95,9466
10/05/2020 13,34.18,35.94,9499
10/05/2020 14,34.21,35.74,9537
10/05/2020 15,29.78,35.72,9531
10/05/2020 16,32.72,35.71,9522
10/05/2020 17,30.3,35.7,9537
10/05/2020 18,32.97,35.7,9535
10/05/2020 19,32,35.69,9389
10/05/2020 20,46.43,35.71,9437
10/05/2020 21,29.52,35.7,9374
10/05/2020 22,24.46,35.68,9149
10/05/2020 23,24.32,35.67,8789
10/05/2020 24,23.78,35.65,8495
10/06/2020 01,22.96,35.63,8291
10/06/2020 02,21.76,35.62,8178
10/06/2020 03,21.82,35.6,8028
10/06/2020 04,23.1,35.58,7966
10/06/2020 05,24.17,35.57,8003
10/06/2020 06,27,35.56,8221
10/06/2020 07,33.99,35.56,8593
10/06/2020 08,35.96,35.56,9041
10/06/2020 09,35.99,35.56,9163
10/06/2020 10,35.49,35.56,9216
10/06/2020 11,37.87,35.57,9306
10/06/2020 12,34.06,35.56,9361
10/06/2020 13,34.58,35.55,9355
10/06/2020 14,34.56,35.55,9368
10/06/2020 15,33.57,35.54,9434
10/06/2020 16,32.06,35.53,9481
10/06/2020 17,31.89,35.51,9513
10/06/2020 18,31.64,35.5,9440
10/06/2020 19,32.82,35.5,9276
10/06/2020 20,33.96,35.49,9346
10/06/2020 21,33.54,35.49,9256
10/06/2020 22,31.63,35.49,9038
10/06/2020 23,34.29,35.49,8729
10/06/2020 24,35.02,35.5,8494
10/07/2020 01,36.98,35.51,8304
10/07/2020 02,37.94,35.53,8185
10/07/2020 03,37.65,35.55,8099
10/07/2020 04,34.8,35.56,8084
10/07/2020 05,38.16,35.58,8114
10/07/2020 06,38.39,35.6,8279
10/07/2020 07,42.72,35.62,8644
10/07/2020 08,37.88,35.64,9110
10/07/2020 09,38.56,35.66,9189
10/07/2020 10,38.38,35.67,9256
10/07/2020 11,182.87,35.89,9326
10/07/2020 12,38.94,35.9,9286
10/07/2020 13,36.85,35.91,9261
10/07/2020 14,36.2,35.92,9335
10/07/2020 15,37.04,35.93,9368
10/07/2020 16,38.2,35.94,9366
10/07/2020 17,38.75,35.95,9377
10/07/2020 18,38.43,35.96,9406
10/07/2020 19,43.12,35.97,9257
10/07/2020 20,37.91,35.97,9340
10/07/2020 21,32.35,35.97,9281
10/07/2020 22,30.16,35.96,9058
10/07/2020 23,25.58,35.94,8711
10/07/2020 24,27.72,35.94,8513
10/08/2020 01,31.36,35.93,8322
10/08/2020 02,31.26,35.93,8221
10/08/2020 03,27.52,35.93,8171
10/08/2020 04,27.6,35.92,8145
10/08/2020 05,28.87,35.92,8225
10/08/2020 06,31.59,35.93,8395
10/08/2020 07,31.71,35.93,8779
10/08/2020 08,35.27,35.94,9211
10/08/2020 09,37.45,35.95,9335
10/08/2020 10,34.74,35.95,9432
10/08/2020 11,34.23,35.96,9429
10/08/2020 12,29.82,35.95,9424
10/08/2020 13,29.37,35.95,9412
10/08/2020 14,30.8,35.95,9436
10/08/2020 15,29.35,35.94,9414
10/08/2020 16,29.34,35.93,9423
10/08/2020 17,32.65,35.93,9468
10/08/2020 18,34.49,35.92,9479
10/08/2020 19,36.75,35.92,9361
10/08/2020 20,38.84,35.92,9453
10/08/2020 21,38.73,35.9,9324
10/08/2020 22,32.44,35.89,9110
10/08/2020 23,33.92,35.89,8840
10/08/2020 24,34.48,35.9,8573
10/09/2020 01,34.55,35.91,8397
10/09/2020 02,34.62,35.91,8305
10/09/2020 03,34.66,35.92,8273
10/09/2020 04,35.04,35.93,8261
10/09/2020 05,37.53,35.94,8288
10/09/2020 06,38.74,35.95,8401
10/09/2020 07,54.58,35.98,8729
10/09/2020 08,38.78,35.99,9168
10/09/2020 09,35.68,35.99,9400
10/09/2020 10,35.5,35.99,9533
10/09/2020 11,35.68,35.99,9622
10/09/2020 12,36.39,35.99,9615
10/09/2020 13,30.02,35.97,9579
10/09/2020 14,31.88,35.96,9553
10/09/2020 15,29.31,35.87,9516
10/09/2020 16,29.6,35.61,9462
10/09/2020 17,29.53,35.24,9519
10/09/2020 18,29.32,35.01,9520
10/09/2020 19,32.03,35,9471
10/09/2020 20,31.48,34.99,9506
10/09/2020 21,29.14,34.97,9368
10/09/2020 22,28.11,34.96,9203
10/09/2020 23,28.87,34.95,8939
10/09/2020 24,26.25,34.94,8667
10/10/2020 01,26.07,34.94,8468
10/10/2020 02,26.72,34.93,8342
10/10/2020 03,29.03,34.94,8259
10/10/2020 04,26.08,34.94,8197
10/10/2020 05,23.71,34.94,8194
10/10/2020 06,21.5,34.93,8221
10/10/2020 07,21.01,34.91,8327
10/10/2020 08,27.84,34.91,8559
10/10/2020 09,29.23,34.9,8729
10/10/2020 10,29.12,34.89,8914
10/10/2020 11,29.5,34.88,9019
10/10/2020 12,29.3,34.87,9118
10/10/2020 13,29.19,34.86,9152
10/10/2020 14,25.35,34.84,9133
10/10/2020 15,23.27,34.82,9110
10/10/2020 16,21.2,34.8,9104
10/10/2020 17,22.89,34.78,9142
10/10/2020 18,25.21,34.76,9176
10/10/2020 19,24.73,34.74,9183
10/10/2020 20,27.31,34.73,9257
10/10/2020 21,20.57,34.72,9141
10/10/2020 22,18.93,34.7,8977
10/10/2020 23,16.09,34.68,8807
10/10/2020 24,15.15,34.66,8569
10/11/2020 01,15.51,34.65,8379
10/11/2020 02,15.93,34.63,8284
10/11/2020 03,15.56,34.61,8198
10/11/2020 04,16.03,34.6,8141
10/11/2020 05,19.38,34.59,8159
10/11/2020 06,20.9,34.58,8168
10/11/2020 07,23.64,34.57,8301
10/11/2020 08,26.49,34.57,8447
10/11/2020 09,25.18,34.56,8614
10/11/2020 10,27.49,34.55,8811
10/11/2020 11,25.89,34.53,8957
10/11/2020 12,25.05,34.51,9083
10/11/2020 13,24.36,34.49,9153
10/11/2020 14,21.02,34.47,9183
10/11/2020 15,19.73,34.44,9156
10/11/2020 16,19.47,34.21,9170
10/11/2020 17,22.68,34,9230
10/11/2020 18,23.07,33.95,9160
10/11/2020 19,23.95,33.93,9092
10/11/2020 20,24.24,33.92,9207
10/11/2020 21,24.18,33.91,9142
10/11/2020 22,24.84,33.9,9014
10/11/2020 23,21.54,33.89,8777
10/11/2020 24,24.47,33.89,8512
10/12/2020 01,26.94,33.9,8335
10/12/2020 02,29.32,33.9,8244
10/12/2020 03,29.28,33.9,8167
10/12/2020 04,29,33.9,8118
10/12/2020 05,29.25,33.89,8154
10/12/2020 06,30.63,33.89,8275
10/12/2020 07,35.24,33.9,8423
10/12/2020 08,35.35,33.89,8601
10/12/2020 09,31.54,33.89,8674
10/12/2020 10,33.27,33.88,8894
10/12/2020 11,32.51,33.88,9091
10/12/2020 12,33.53,33.87,9219
10/12/2020 13,32.26,33.71,9260
10/12/2020 14,35.09,33.58,9256
10/12/2020 15,35.22,33.57,9250
10/12/2020 16,34.95,33.57,9321
10/12/2020 17,31.21,33.56,9370
10/12/2020 18,29.71,33.56,9379
10/12/2020 19,32.28,33.56,9316
10/12/2020 20,35.68,33.57,9454
10/12/2020 21,33.5,33.56,9385
10/12/2020 22,29.17,33.55,9237
10/12/2020 23,27.29,33.54,8979
10/12/2020 24,21.04,33.53,8721
10/13/2020 01,23.82,33.52,8561
10/13/2020 02,23.72,33.51,8451
10/13/2020 03,23.99,33.49,8353
10/13/2020 04,25.69,33.48,8334
10/13/2020 05,29.05,33.48,8393
10/13/2020 06,31.6,33.48,8584
10/13/2020 07,36.81,33.49,8992
10/13/2020 08,37.1,33.5,9471
10/13/2020 09,46.05,33.52,9616
10/13/2020 10,120.06,33.64,9533
10/13/2020 11,591.77,34.42,9560
10/13/2020 12,704.75,35.35,9591
10/13/2020 13,599.46,36.13,9557
10/13/2020 14,303.85,36.51,9544
10/13/2020 15,35.72,36.51,9604
10/13/2020 16,36.01,36.51,9661
10/13/2020 17,32.55,36.51,9702
10/13/2020 18,30.58,36.5,9745
10/13/2020 19,29.68,36.49,9728
10/13/2020 20,31.49,36.49,9772
10/13/2020 21,30.43,36.48,9668
10/13/2020 22,30.51,36.47,9438
10/13/2020 23,29.16,36.47,9128
10/13/2020 24,27.22,36.46,8895
10/14/2020 01,31.81,36.46,8715
10/14/2020 02,32.49,36.46,8603
10/14/2020 03,33.83,36.47,8549
10/14/2020 04,33.85,36.47,8567
10/14/2020 05,36.23,36.47,8638
10/14/2020 06,35.36,36.47,8806
10/14/2020 07,37.59,36.47,9176
10/14/2020 08,39.59,36.47,9658
10/14/2020 09,84.7,36.54,9710
10/14/2020 10,278.85,36.88,9689
10/14/2020 11,248.12,37.08,9706
10/14/2020 12,54,37.05,9778
10/14/2020 13,194.04,37.27,9763
10/14/2020 14,393.97,37.76,9704
10/14/2020 15,253.06,38.06,9663
10/14/2020 16,62.89,38.1,9744
10/14/2020 17,261.16,38.41,9718
10/14/2020 18,188.03,38.43,9723
10/14/2020 19,38.26,38.43,9727
10/14/2020 20,37.72,38.43,9866
10/14/2020 21,34.68,38.43,9797
10/14/2020 22,32.82,38.43,9631
10/14/2020 23,31.39,38.42,9354
10/14/2020 24,33.87,38.42,9078
10/15/2020 01,30.69,38.42,8876
10/15/2020 02,30.62,38.41,8776
10/15/2020 03,33.82,38.41,8742
10/15/2020 04,33.79,38.41,8788
10/15/2020 05,33.8,38.41,8830
10/15/2020 06,33.72,38.41,8961
10/15/2020 07,35.8,38.4,9325
10/15/2020 08,37.92,38.37,9781
10/15/2020 09,62.29,38.38,9899
10/15/2020 10,116.39,38.49,9903
10/15/2020 11,39.35,38.36,9908
10/15/2020 12,37.7,38.35,9889
10/15/2020 13,36.62,38.35,9911
10/15/2020 14,40.04,38.36,9901
10/15/2020 15,35.45,38.36,9844
10/15/2020 16,32.54,38.36,9656
10/15/2020 17,30.65,38.36,9772
10/15/2020 18,30.67,38.36,9833
10/15/2020 19,34.83,38.36,9854
10/15/2020 20,33.78,38.37,9874
10/15/2020 21,37.39,38.37,9835
10/15/2020 22,35.22,38.37,9750
10/15/2020 23,36.14,38.37,9497
10/15/2020 24,33.86,38.37,9248
10/16/2020 01,35.22,38.38,9040
10/16/2020 02,35.11,38.38,8912
10/16/2020 03,35.04,38.39,8828
10/16/2020 04,35.11,38.39,8818
10/16/2020 05,35.05,38.4,8877
10/16/2020 06,35.23,38.4,9036
10/16/2020 07,37.44,38.41,9371
10/16/2020 08,38.89,38.42,9726
10/16/2020 09,43.18,38.43,9900
10/16/2020 10,43.79,38.44,9939
10/16/2020 11,39.51,38.45,9982
10/16/2020 12,131.59,38.58,9977
10/16/2020 13,44.93,38.59,9969
10/16/2020 14,37.92,38.59,9939
10/16/2020 15,37.3,38.59,9969
10/16/2020 16,35.48,38.59,9952
10/16/2020 17,35.84,38.59,9974
10/16/2020 18,36.34,38.55,9994
10/16/2020 19,39.54,38.55,9942
10/16/2020 20,38.11,38.55,9946
10/16/2020 21,43.97,38.56,9863
10/16/2020 22,44.72,38.57,9731
10/16/2020 23,38.66,38.58,9511
10/16/2020 24,36.63,38.58,9280
10/17/2020 01,34.01,38.59,9078
10/17/2020 02,31.95,38.59,8883
10/17/2020 03,31.86,38.59,8788
10/17/2020 04,31.76,38.59,8770
10/17/2020 05,35.11,38.59,8778
10/17/2020 06,37.28,38.6,8879
10/17/2020 07,37.87,38.6,8991
10/17/2020 08,37.92,38.6,9214
10/17/2020 09,39.7,38.61,9436
10/17/2020 10,45.48,38.62,9624
10/17/2020 11,246.51,38.91,9678
10/17/2020 12,192.04,39.13,9770
10/17/2020 13,353.06,39.56,9768
10/17/2020 14,164.49,39.74,9691
10/17/2020 15,34.95,39.73,9766
10/17/2020 16,68.18,39.78,9790
10/17/2020 17,35.42,39.77,9892
10/17/2020 18,37.76,39.77,9961
10/17/2020 19,37.7,39.77,9967
10/17/2020 20,39.7,39.77,9974
10/17/2020 21,39.27,39.78,9926
10/17/2020 22,42.39,39.79,9861
10/17/2020 23,41.84,39.8,9618
10/17/2020 24,38.14,39.81,9345
10/18/2020 01,37.73,39.83,9157
10/18/2020 02,37.72,39.84,9030
10/18/2020 03,37.6,39.86,8967
10/18/2020 04,37.71,39.87,8929
10/18/2020 05,37.4,39.89,8922
10/18/2020 06,37.69,39.9,9003
10/18/2020 07,37.64,39.9,9121
10/18/2020 08,37.64,39.91,9292
10/18/2020 09,37.86,39.91,9395
10/18/2020 10,41.29,39.92,9591
10/18/2020 11,140.78,40.07,9695
10/18/2020 12,42.26,40.08,9849
10/18/2020 13,44.47,40.09,9950
10/18/2020 14,171.46,40.27,9905
10/18/2020 15,148.14,40.43,9848
10/18/2020 16,145.82,40.58,9841
10/18/2020 17,371.45,41.04,9931
10/18/2020 18,326,41.44,10007
10/18/2020 19,98.43,41.53,9987
10/18/2020 20,419.27,42.06,9954
10/18/2020 21,434.68,42.62,9805
10/18/2020 22,145.59,42.77,9632
10/18/2020 23,41.11,42.79,9430
10/18/2020 24,37.83,42.8,9288
10/19/2020 01,37.62,42.81,9101
10/19/2020 02,37.3,42.82,8939
10/19/2020 03,37.09,42.83,8901
10/19/2020 04,37.15,42.83,8886
10/19/2020 05,37.44,42.84,8946
10/19/2020 06,37.48,42.86,9128
10/19/2020 07,37.72,42.87,9525
10/19/2020 08,37.94,42.88,9991
10/19/2020 09,39.03,42.89,10059
10/19/2020 10,39.03,42.9,10124
10/19/2020 11,96.81,42.99,10188
10/19/2020 12,103.04,43.08,10146
10/19/2020 13,89,43.16,10169
10/19/2020 14,47.54,43.18,10200
10/19/2020 15,37.87,43.18,10194
10/19/2020 16,36.91,43.18,10164
10/19/2020 17,44.9,43.19,10198
10/19/2020 18,38.17,43.19,10201
10/19/2020 19,37.47,43.19,10231
10/19/2020 20,37.76,43.19,10237
10/19/2020 21,43.4,43.2,10158
10/19/2020 22,45.86,43.22,9921
10/19/2020 23,48.98,43.24,9608
10/19/2020 24,45.22,43.26,9364
10/20/2020 01,39.58,43.27,9150
10/20/2020 02,36.38,43.28,9034
10/20/2020 03,36.75,43.29,8977
10/20/2020 04,31.96,43.29,8961
10/20/2020 05,34.97,43.3,9002
10/20/2020 06,36.5,43.31,9135
10/20/2020 07,42.83,43.32,9519
10/20/2020 08,46.13,43.34,9980
10/20/2020 09,45.64,43.36,10056
10/20/2020 10,122.19,43.48,9981
10/20/2020 11,83.02,43.54,10023
10/20/2020 12,49.33,43.56,10030
10/20/2020 13,47.39,43.58,9991
10/20/2020 14,53.93,43.61,9936
10/20/2020 15,49.6,43.63,9892
10/20/2020 16,46.92,43.65,9960
10/20/2020 17,41.01,43.65,10015
10/20/2020 18,38.13,43.65,10042
10/20/2020 19,47.5,43.67,10070
10/20/2020 20,339.76,44.09,10022
10/20/2020 21,42.2,44.09,9957
10/20/2020 22,43.66,44.1,9831
10/20/2020 23,43.66,44.12,9550
10/20/2020 24,41.86,44.13,9264
10/21/2020 01,41.4,44.15,9121
10/21/2020 02,40.64,44.17,9030
10/21/2020 03,37.95,44.18,8942
10/21/2020 04,37.96,44.19,8945
10/21/2020 05,37.88,44.2,8972
10/21/2020 06,41.24,44.22,9108
10/21/2020 07,44.06,44.24,9464
10/21/2020 08,244.41,44.53,9827
10/21/2020 09,66.57,44.58,10067
10/21/2020 10,72.66,44.63,10148
10/21/2020 11,45.3,44.65,10194
10/21/2020 12,38.29,44.65,10223
10/21/2020 13,38.39,44.65,10193
10/21/2020 14,45.11,44.66,10234
10/21/2020 15,35.27,44.66,10196
10/21/2020 16,36.06,44.66,10147
10/21/2020 17,37.77,44.66,10260
10/21/2020 18,39.25,44.66,10265
10/21/2020 19,42.68,44.66,10219
10/21/2020 20,38.88,44.66,10173
10/21/2020 21,38.37,44.67,10095
10/21/2020 22,42.05,44.67,9914
10/21/2020 23,38.25,44.68,9688
10/21/2020 24,38.08,44.7,9445
10/22/2020 01,38.1,44.71,9266
10/22/2020 02,38.14,44.72,9217
10/22/2020 03,38.16,44.73,9219
10/22/2020 04,38.25,44.74,9205
10/22/2020 05,38.34,44.75,9247
10/22/2020 06,39.03,44.76,9374
10/22/2020 07,43.57,44.77,9752
10/22/2020 08,160.89,44.94,10153
10/22/2020 09,201.71,45.17,10228
10/22/2020 10,234.67,45.45,10231
10/22/2020 11,476.25,46.05,10267
10/22/2020 12,476.56,46.66,10266
10/22/2020 13,476.6,47.27,10232
10/22/2020 14,472.98,47.86,10170
10/22/2020 15,473.58,48.46,10140
10/22/2020 16,474.06,49.06,10138
10/22/2020 17,474.21,49.59,10223
10/22/2020 18,477.64,50.03,10298
10/22/2020 19,700.63,50.94,10300
10/22/2020 20,835.98,52.05,10242
10/22/2020 21,591.03,52.82,10062
10/22/2020 22,137.11,52.97,9899
10/22/2020 23,51.87,52.99,9699
10/22/2020 24,48.4,53.01,9471
10/23/2020 01,38.12,53.02,9345
10/23/2020 02,38.09,53.03,9185
10/23/2020 03,38.06,53.04,9129
10/23/2020 04,37.3,53.06,9129
10/23/2020 05,38.15,53.07,9171
