Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
07/02/2022,82,33,24,27,25,31,23,69,37,33,33,36,43,28,40,26,31,36,31,27,46,19,29,70
07/03/2022,64,25,23,23,28,25,15,59,32,46,25,32,47,22,37,26,36,32,29,23,36,32,28,58
07/04/2022,77,38,28,30,24,34,22,71,38,43,45,30,32,33,39,20,30,38,31,37,31,43,39,73
07/05/2022,73,27,24,19,19,35,22,63,36,33,45,51,38,28,37,17,25,21,31,42,32,48,43,65
07/06/2022,97,27,29,38,22,38,26,81,55,51,43,48,40,42,48,33,31,33,30,28,41,47,50,75
07/07/2022,96,36,27,22,22,48,26,70,52,59,53,51,57,42,50,32,36,39,28,39,42,57,53,62
07/08/2022,100,31,37,28,37,39,32,79,61,57,45,41,41,35,46,39,34,48,41,41,49,50,52,81
07/09/2022,83,43,26,38,30,32,42,77,54,51,57,44,45,35,40,38,37,33,32,47,40,42,58,65
07/10/2022,89,41,33,46,30,43,35,77,41,56,49,44,43,35,40,34,41,41,45,34,39,45,45,70
07/11/2022,76,43,38,27,29,50,40,80,53,51,52,52,45,37,29,45,47,44,27,48,37,38,61,73
07/12/2022,104,46,44,46,37,42,39,104,59,56,67,70,60,65,56,52,56,53,51,48,52,62,64,104
07/13/2022,120,54,45,54,38,62,44,108,82,60,65,61,46,64,49,56,53,42,62,46,48,48,57,92
07/14/2022,108,41,44,39,48,42,38,105,65,64,59,61,50,60,56,53,62,51,43,47,44,55,61,98
07/15/2022,110,51,49,35,42,42,35,110,68,68,73,84,62,54,47,46,45,47,53,46,41,74,72,98
07/16/2022,109,54,45,39,52,41,50,93,60,53,52,61,47,59,53,40,50,51,50,42,60,51,54,94
07/17/2022,96,46,40,38,35,37,47,98,49,57,55,56,52,57,57,51,46,46,51,41,61,43,58,82
07/18/2022,83,49,40,46,38,44,43,87,61,53,62,49,53,53,41,39,44,38,36,41,39,41,52,79
07/19/2022,109,49,52,48,48,47,47,94,70,66,56,63,55,54,45,44,50,48,46,58,60,55,54,94
07/20/2022,114,54,42,46,46,46,62,96,72,75,54,54,52,56,52,49,42,42,44,49,53,57,56,88
07/21/2022,95,52,38,52,45,52,49,88,70,68,72,59,65,55,49,67,35,55,42,64,55,65,60,96
07/22/2022,98,41,36,44,38,44,41,88,61,60,50,65,52,45,51,42,47,48,47,43,51,51,42,94
07/23/2022,89,34,46,41,36,38,46,85,54,52,54,44,55,48,51,33,43,53,61,54,45,54,51,87
07/24/2022,81,40,35,37,44,47,51,89,57,57,51,44,35,51,41,34,43,47,50,40,45,60,55,75
07/25/2022,69,36,39,43,35,37,56,80,61,55,54,62,55,57,52,47,47,46,49,43,53,63,48,77
07/26/2022,92,52,46,58,48,45,41,86,75,81,64,62,68,62,67,54,59,69,59,60,61,68,58,86
07/27/2022,106,47,60,52,43,48,49,93,68,87,71,71,54,51,75,50,52,63,57,62,66,57,64,87
07/28/2022,102,44,39,32,41,46,29,103,73,68,66,73,66,61,45,45,43,47,47,48,51,57,56,88
07/29/2022,103,47,36,41,44,50,35,105,70,67,58,61,52,55,40,47,48,49,41,62,53,66,58,80
07/30/2022,102,60,45,41,47,46,44,86,63,64,57,51,56,58,51,48,57,57,53,48,50,64,51,82
07/31/2022,91,40,47,51,46,47,43,86,67,59,57,58,56,56,47,46,52,54,43,44,50,49,52,87
08/01/2022,93,42,47,36,54,40,34,88,58,56,56,50,48,49,44,49,44,50,44,51,47,57,56,84
08/02/2022,92,43,41,37,35,42,46,93,56,65,47,49,49,50,45,39,45,58,40,46,48,48,56,85
08/03/2022,97,39,45,40,32,34,39,86,59,59,65,46,52,54,37,42,51,46,36,39,36,56,28,74
08/04/2022,90,34,23,34,28,29,24,66,48,48,47,47,45,42,29,39,52,38,36,51,33,45,44,56
08/05/2022,87,29,33,27,30,30,32,58,43,53,37,47,37,38,27,33,31,32,25,23,39,35,46,62
08/06/2022,72,33,30,27,27,37,31,68,55,62,51,51,52,48,43,46,41,38,36,40,52,56,63,73
08/07/2022,68,41,38,30,27,46,34,72,54,57,55,62,56,55,45,46,37,35,44,44,53,52,56,76
08/08/2022,85,32,36,35,35,38,30,75,69,66,71,66,55,52,28,33,40,48,55,45,57,61,57,78
08/09/2022,109,38,39,41,46,50,49,98,63,75,67,76,66,49,75,47,53,56,48,72,53,82,60,88
08/10/2022,114,55,43,35,43,50,36,88,58,66,73,76,57,51,60,57,47,40,58,45,48,61,57,88
08/11/2022,114,53,45,50,43,62,47,96,75,70,76,66,65,55,53,57,59,53,58,60,73,70,78,88
08/12/2022,114,54,50,54,45,52,50,105,66,72,77,74,74,69,63,60,62,52,49,71,61,53,81,96
08/13/2022,112,48,49,32,45,47,41,79,60,69,65,71,63,56,48,52,40,50,61,52,55,58,68,81
08/14/2022,85,48,39,47,38,48,35,78,57,67,64,67,59,55,41,49,73,51,43,55,59,73,76,80
08/15/2022,89,45,50,40,43,47,36,88,62,66,63,72,58,55,66,43,42,36,49,45,57,62,44,80
08/16/2022,97,52,49,43,38,51,39,102,69,73,69,67,79,51,55,45,48,47,60,53,61,53,68,85
08/17/2022,93,53,42,55,42,46,43,85,68,69,67,73,62,66,59,68,45,42,52,62,71,71,66,77
08/18/2022,87,41,40,42,41,43,42,88,65,71,81,70,69,71,52,47,62,52,37,59,51,72,58,79
08/19/2022,105,42,36,29,25,34,23,70,57,75,59,64,71,48,43,57,43,42,39,41,48,67,55,75
08/20/2022,87,41,30,42,29,45,32,68,51,47,53,59,57,44,55,54,46,46,43,61,65,65,60,74
08/21/2022,68,44,28,23,32,27,27,63,36,41,48,49,29,39,47,26,25,37,34,44,42,49,47,62
08/22/2022,90,30,27,25,40,41,34,78,49,59,55,64,63,50,55,59,43,33,43,63,55,53,54,81
08/23/2022,109,38,44,41,44,55,42,77,50,58,60,49,42,55,48,40,49,43,40,43,44,55,41,74
08/24/2022,94,43,36,40,38,42,62,83,66,65,64,68,53,54,57,46,61,47,56,64,59,69,61,72
08/25/2022,107,38,43,37,42,61,39,86,66,62,72,73,69,58,64,49,49,48,58,48,62,60,66,73
08/26/2022,109,47,40,41,50,49,36,86,59,70,71,78,73,56,66,54,51,51,64,55,64,75,61,92
08/27/2022,98,50,47,41,46,53,45,74,57,53,61,45,66,51,57,45,36,61,52,46,40,60,48,77
08/28/2022,92,35,36,33,40,46,34,66,58,46,51,56,48,45,53,47,49,35,40,56,54,57,62,75
08/29/2022,96,37,36,40,36,40,38,74,55,61,72,76,56,69,62,65,55,59,43,61,66,59,52,83
08/30/2022,100,43,47,40,43,45,53,82,75,78,70,68,80,66,54,65,47,43,34,44,61,69,51,69
