,Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
186,03/08/2020 20,34.73,36.57,10485.0
187,03/08/2020 21,34.72,36.57,10504.0
188,03/08/2020 22,33.23,36.57,10432.0
189,03/08/2020 23,33.22,36.57,10198.0
190,03/08/2020 24,34.34,36.57,9867.0
191,03/09/2020 01,33.15,36.57,9688.0
192,03/09/2020 02,32.46,36.57,9569.0
193,03/09/2020 03,32.39,36.58,9487.0
194,03/09/2020 04,32.2,36.58,9525.0
195,03/09/2020 05,30.02,36.58,9634.0
196,03/09/2020 06,33.58,36.59,9859.0
197,03/09/2020 07,38.51,36.6,10297.0
198,03/09/2020 08,39.07,36.62,10636.0
199,03/09/2020 09,36.98,36.63,10638.0
200,03/09/2020 10,38.37,36.64,10631.0
201,03/09/2020 11,43.4,36.66,10607.0
202,03/09/2020 12,35.43,36.67,10589.0
203,03/09/2020 13,35.68,36.67,10564.0
204,03/09/2020 14,36.03,36.68,10531.0
205,03/09/2020 15,35.4,36.69,10452.0
206,03/09/2020 16,35.47,36.7,10390.0
207,03/09/2020 17,43.03,36.72,10424.0
208,03/09/2020 18,34.66,36.72,10420.0
209,03/09/2020 19,33.36,36.72,10380.0
210,03/09/2020 20,32.99,36.72,10374.0
211,03/09/2020 21,35.06,36.72,10476.0
212,03/09/2020 22,35.05,36.72,10425.0
213,03/09/2020 23,32.67,36.72,10183.0
214,03/09/2020 24,33.14,36.72,9860.0
215,03/10/2020 01,31.99,36.71,9667.0
216,03/10/2020 02,28.75,36.71,9492.0
217,03/10/2020 03,25.35,36.71,9429.0
218,03/10/2020 04,31.26,36.71,9470.0
219,03/10/2020 05,33.31,36.73,9533.0
220,03/10/2020 06,33.82,36.75,9716.0
221,03/10/2020 07,34.1,36.76,10111.0
222,03/10/2020 08,34.97,36.78,10450.0
223,03/10/2020 09,33.88,36.8,10444.0
224,03/10/2020 10,33.86,36.81,10420.0
225,03/10/2020 11,34.24,36.82,10403.0
226,03/10/2020 12,34.33,36.82,10433.0
227,03/10/2020 13,30.76,36.83,10367.0
228,03/10/2020 14,35.31,36.84,10266.0
229,03/10/2020 15,35.2,36.84,10226.0
230,03/10/2020 16,35.34,36.84,10253.0
231,03/10/2020 17,35.66,36.85,10337.0
232,03/10/2020 18,34.21,36.86,10306.0
233,03/10/2020 19,31.57,36.85,10209.0
234,03/10/2020 20,30.91,36.84,10319.0
235,03/10/2020 21,30.51,36.84,10380.0
236,03/10/2020 22,29.57,36.83,10242.0
237,03/10/2020 23,30.91,36.83,9952.0
238,03/10/2020 24,29.56,36.83,9646.0
239,03/11/2020 01,29.45,36.83,9469.0
240,03/11/2020 02,29.48,36.83,9371.0
241,03/11/2020 03,29.37,36.83,9327.0
242,03/11/2020 04,29.41,36.83,9321.0
243,03/11/2020 05,29.28,36.83,9383.0
244,03/11/2020 06,30.41,36.83,9569.0
245,03/11/2020 07,33.89,36.83,9937.0
246,03/11/2020 08,32.1,36.83,10393.0
247,03/11/2020 09,30.99,36.83,10351.0
248,03/11/2020 10,31.94,36.82,10400.0
249,03/11/2020 11,34.91,36.82,10425.0
250,03/11/2020 12,36.16,36.81,10448.0
251,03/11/2020 13,36.26,36.81,10399.0
252,03/11/2020 14,37.1,36.81,10414.0
253,03/11/2020 15,40.82,36.8,10393.0
254,03/11/2020 16,46.17,36.81,10420.0
255,03/11/2020 17,43.6,36.82,10440.0
256,03/11/2020 18,69.3,36.87,10385.0
257,03/11/2020 19,74.7,36.92,10335.0
258,03/11/2020 20,74.92,36.98,10423.0
259,03/11/2020 21,73.67,37.05,10443.0
260,03/11/2020 22,51.36,37.08,10338.0
261,03/11/2020 23,36.23,37.09,10024.0
262,03/11/2020 24,34.97,37.1,9683.0
263,03/12/2020 01,36.41,37.11,9474.0
264,03/12/2020 02,35.87,37.12,9404.0
265,03/12/2020 03,34.98,37.14,9352.0
266,03/12/2020 04,34.35,37.15,9354.0
267,03/12/2020 05,35.15,37.16,9416.0
268,03/12/2020 06,36.6,37.18,9591.0
269,03/12/2020 07,37.31,37.19,9982.0
270,03/12/2020 08,63.54,37.24,10465.0
271,03/12/2020 09,51.0,37.27,10517.0
272,03/12/2020 10,46.4,37.29,10518.0
273,03/12/2020 11,88.19,37.36,10485.0
